EmployeeID,Education,JoiningYear,City,Country,Region,PaymentTier,Age,Gender,ExperienceInCurrentDomain,Performance
1,Bachelors,2017,Toronto,Canada,North America,3,34,Male,0,74.96714153011233
2,Bachelors,2013,Pune,India,Asia,1,28,Female,3,68.61735698828815
3,Bachelors,2014,New Delhi,India,Asia,3,38,Female,2,76.47688538100692
4,Masters,2016,Vancouver,Canada,North America,3,27,Male,5,85.23029856408026
5,Masters,2017,Berlin,Germany,Europe,3,24,Male,2,67.65846625276664
6,Bachelors,2016,Toronto,Canada,North America,3,22,Male,0,67.6586304305082
7,Bachelors,2015,Manchester,UK,Europe,3,38,Male,0,85.79212815507391
8,Bachelors,2016,Bangalore,India,Asia,3,34,Female,2,77.67434729152909
9,Bachelors,2016,Toronto,Canada,North America,3,23,Male,1,65.30525614065049
10,Masters,2017,New Delhi,India,Asia,2,37,Male,2,75.42560043585965
11,Masters,2012,New Delhi,India,Asia,3,27,Male,5,65.36582307187538
12,Bachelors,2016,Vancouver,Canada,North America,3,34,Male,3,65.34270246429743
13,Bachelors,2018,Berlin,Germany,Europe,3,32,Male,5,72.41962271566034
14,Bachelors,2016,Pune,India,Asia,3,39,Male,2,50.86719755342202
15,Bachelors,2012,Vancouver,Canada,North America,3,37,Male,4,52.75082167486967
16,Bachelors,2017,Vancouver,Canada,North America,1,29,Male,3,64.37712470759027
17,Bachelors,2014,Bangalore,India,Asia,3,34,Female,2,59.87168879665576
18,Bachelors,2014,Munich,Germany,Europe,3,34,Male,4,73.14247332595274
19,Bachelors,2015,Berlin,Germany,Europe,2,30,Female,0,60.91975924478789
20,Bachelors,2016,San Francisco,USA,North America,2,22,Female,0,55.87696298664709
21,Bachelors,2012,Vancouver,Canada,North America,3,37,Male,0,84.65648768921554
22,Masters,2017,Munich,Germany,Europe,2,28,Male,4,67.74223699513465
23,Bachelors,2017,San Francisco,USA,North America,2,36,Male,3,70.67528204687923
24,Bachelors,2015,Berlin,Germany,Europe,3,27,Male,5,55.75251813786544
25,Bachelors,2017,New York,USA,North America,3,29,Male,4,64.55617275474818
26,Bachelors,2013,Manchester,UK,Europe,3,22,Female,0,71.10922589709867
27,Bachelors,2016,Munich,Germany,Europe,3,37,Male,2,58.490064225776976
28,Bachelors,2015,London,UK,Europe,3,23,Male,1,73.75698018345672
29,Bachelors,2013,New York,USA,North America,2,31,Female,2,63.99361310081195
30,Masters,2017,New Delhi,India,Asia,2,30,Female,2,67.08306250206724
31,PHD,2013,New Delhi,India,Asia,3,25,Male,3,63.98293387770603
32,Bachelors,2014,Manchester,UK,Europe,3,23,Male,1,88.52278184508938
33,Bachelors,2018,Bangalore,India,Asia,3,26,Male,4,69.86502775262066
34,Bachelors,2016,Toronto,Canada,North America,3,40,Male,5,59.422890710441
35,Bachelors,2017,Pune,India,Asia,2,37,Female,0,78.22544912103189
36,Bachelors,2014,London,UK,Europe,1,30,Female,3,57.791563500289776
37,Bachelors,2012,Bangalore,India,Asia,3,29,Male,3,72.08863595004756
38,Bachelors,2018,Berlin,Germany,Europe,2,34,Female,0,50.40329876120224
39,Bachelors,2017,Bangalore,India,Asia,2,29,Female,2,56.71813951101569
40,Bachelors,2014,Toronto,Canada,North America,3,30,Male,4,71.96861235869123
41,Bachelors,2015,Berlin,Germany,Europe,3,36,Male,1,77.3846657999541
42,Masters,2017,London,UK,Europe,2,23,Male,1,71.7136828118997
43,Bachelors,2013,Toronto,Canada,North America,3,30,Male,3,68.8435171761176
44,Bachelors,2014,San Francisco,USA,North America,3,36,Male,0,66.98896304410711
45,Bachelors,2015,Pune,India,Asia,3,39,Male,4,55.214780096325725
46,Bachelors,2014,London,UK,Europe,3,23,Female,1,62.801557916052914
47,PHD,2012,San Francisco,USA,North America,3,27,Male,5,65.39361229040213
48,Masters,2013,Manchester,UK,Europe,3,35,Male,2,80.57122226218915
49,Masters,2017,London,UK,Europe,2,34,Male,0,73.43618289568461
50,Bachelors,2013,Manchester,UK,Europe,3,30,Female,1,52.36959844637266
51,PHD,2017,Berlin,Germany,Europe,3,34,Male,2,73.24083969394795
52,Bachelors,2015,San Francisco,USA,North America,2,26,Female,4,66.14917719583684
53,Bachelors,2016,Pune,India,Asia,3,34,Female,0,63.23077999694041
54,Bachelors,2014,Toronto,Canada,North America,3,31,Female,5,76.11676288840867
55,Bachelors,2017,Vancouver,Canada,North America,3,31,Female,5,80.30999522495951
56,PHD,2013,Bangalore,India,Asia,3,28,Male,2,79.31280119116198
57,Bachelors,2016,New York,USA,North America,3,38,Male,2,61.607824767773614
58,Masters,2014,Pune,India,Asia,3,39,Female,2,66.90787624148786
59,Bachelors,2013,San Francisco,USA,North America,3,32,Male,4,73.31263431403563
60,Masters,2017,Vancouver,Canada,North America,2,36,Male,2,79.75545127122359
61,Masters,2013,Pune,India,Asia,3,29,Male,3,65.2082576215471
62,Bachelors,2015,San Francisco,USA,North America,3,30,Male,5,68.14341023336183
63,PHD,2013,Munich,Germany,Europe,2,25,Male,3,58.93665025993972
64,Bachelors,2014,Munich,Germany,Europe,1,22,Female,0,58.037933759193294
65,Bachelors,2016,Manchester,UK,Europe,3,34,Male,4,78.12525822394198
66,Bachelors,2018,Pune,India,Asia,3,40,Male,1,83.56240028570824
67,PHD,2013,Munich,Germany,Europe,3,26,Male,4,69.27989878419666
68,Bachelors,2014,San Francisco,USA,North America,3,28,Male,0,80.03532897892023
69,Bachelors,2015,Manchester,UK,Europe,3,24,Female,2,73.61636025047635
70,Masters,2017,San Francisco,USA,North America,3,40,Female,2,63.54880245394876
71,Bachelors,2018,Manchester,UK,Europe,3,23,Female,1,73.61395605508415
72,Masters,2017,Pune,India,Asia,3,31,Male,4,85.38036566465969
73,Bachelors,2014,Vancouver,Canada,North America,3,25,Female,3,69.64173960890048
74,Bachelors,2014,Toronto,Canada,North America,1,27,Male,5,85.64643655814007
75,Masters,2017,London,UK,Europe,2,25,Female,3,43.80254895910255
76,Bachelors,2015,Vancouver,Canada,North America,3,40,Male,0,78.21902504375224
77,Bachelors,2014,Berlin,Germany,Europe,1,23,Female,1,70.87047068238171
78,Bachelors,2017,San Francisco,USA,North America,3,23,Female,1,67.00992649534132
